"Id","Abbrev","Release Date","Full Name","Company"
"300001","Jyhad","19940816","Jyhad","Wizards of the Coast"
"300002","VTES","19950915","Vampire: The Eternal Struggle","Wizards of the Coast"
"300003","DS","19951215","Dark Sovereigns","Wizards of the Coast"
"300004","AH","19960529","Ancient Hearts","Wizards of the Coast"
"300005","Sabbat","19961028","Sabbat","Wizards of the Coast"
"300006","SW","20001031","Sabbat War","White Wolf"
"300007","FN","20010611","Final Nights","White Wolf"
"300008","BL","20011203","Bloodlines","White Wolf"
"300009","CE","20020819","Camarilla Edition","White Wolf"
"300010","Anarchs","20030519","Anarchs","White Wolf"
"300011","BH","20031117","Black Hand","White Wolf"
"300012","Gehenna","20040517","Gehenna","White Wolf"
"300013","Tenth","20041213","Tenth Anniversary","White Wolf"
"300014","KMW","20050221","Kindred Most Wanted","White Wolf"
"300015","LoB","20051114","Legacies of Blood","White Wolf"
"300016","NoR","20060410","Nights of Reckoning","White Wolf"
"300017","Third","20060904","Third Edition","White Wolf"
"300018","SoC","20070319","Sword of Caine","White Wolf"
"300019","LotN","20070926","Lords of the Night","White Wolf"
"300020","BSC","20080414","Blood Shadowed Court","White Wolf"
"300021","TR","20080528","Twilight Rebellion","White Wolf"
"300022","KoT","20081119","Keepers of Tradition","White Wolf"
"300023","EK","20090527","Ebony Kingdom","White Wolf"
"300024","HttB","20100203","Heirs to the Blood","White Wolf"
"300025","DM","20131005","Danse Macabre","White Wolf Entertainment AB" 
"300026","TU","20141004","The Unaligned","White Wolf Entertainment AB" 
"300027","AU","20160117","Anarch Unbound","White Wolf Entertainment AB" 
"300028","Anthology","20170511","Anthology","White Wolf Publishing AB"
"300029","LK","20180609","Lost Kindred","White Wolf Entertainment AB"
"300030","SP","20190216","Sabbat Preconstructed","White Wolf Entertainment AB"
"300031","25th","20190816","Twenty-Fifth Anniversary","White Wolf Entertainment AB"
"300032","FB","20191001","First Blood","White Wolf Entertainment AB"
"300033","V5","20201130","Fifth Edition","Paradox Interactive AB"
"300034","V5A","20211201","Fifth Edition (Anarch)","Paradox Interactive AB"
"300035","NB","20220417","New Blood","Paradox Interactive AB"
"300036","FoL","20221014","Fall of London","Paradox Interactive AB"
